APA number,ACC number,ACC Name,Address,Suburb / Town,From,To
42,4662,LAVERTY PATHOLOGY,PATH RM GORDON FAM PRCT 114 LEWIS LUXTON AVE,GORDON ACT 2906,15/11/2022,14/11/2026
42,4663,DOREVITCH PATHOLOGY,EUREKA MEDICAL & DENTAL CTR SE 5 14 ALBERT ST,BALLARAT CENTRAL VIC 3350,12/10/2022,11/10/2026
42,4664,DOREVITCH PATHOLOGY,PTH RM ALBURY CENTRAL MC L1 SE 4 564 DAVID ST,ALBURY NSW 2640,10/10/2022,09/10/2026
42,4667,WESTERN DIAGNOSTIC PATH,"PATH RM, GALAXY HEALTH M/C SHOP 11 34 ABERNETHY RD",BYFORD WA 6122,10/10/2022,09/10/2026
42,4668,DOREVITCH PATHOLOGY,PATH RM FAMILY CARE M/C 404-406 HUNTINGDALE RD,MOUNT WAVERLEY VIC 3149,10/10/2022,09/10/2026
42,4669,DOREVITCH PATHOLOGY,"PATH RMS, CASEY MED CNTR 197 HIGH ST",CRANBOURNE VIC 3977,10/10/2022,09/10/2026
42,4671,QML PATHOLOGY,PTH RM KAWANA S/WRLD SH 417 119 POINT CARTWRIGHT DR,BUDDINA QLD 4575,10/10/2022,09/10/2026
42,4672,DOREVITCH PATHOLOGY,PATH RM CARNEGIE M/C SH 18 L 2 2 KOORNANG RD,CARNEGIE VIC 3163,12/10/2022,11/10/2026
42,4674,DOREVITCH PATHOLOGY,"PATH RM 1, MOUNT MED CLNC 1592 BURWOOD HWY",BELGRAVE VIC 3160,14/10/2022,13/10/2026
42,4675,DOREVITCH PATHOLOGY,PATH SE EAGLEHAWK - TRISTAR 13-21 PEG LEG RD,EAGLEHAWK VIC 3556,19/10/2022,18/10/2026
42,4678,DOREVITCH PATHOLOGY,PATH SE SEBASTOPOL -TRISTAR 49-51 ALBERT ST,SEBASTOPOL VIC 3356,19/10/2022,18/10/2026
42,4679,DOREVITCH PATHOLOGY,PATH SE WODONGA - TRISTAR U 3 79 HIGH ST,WODONGA VIC 3690,19/10/2022,18/10/2026
42,4681,DOREVITCH PATHOLOGY,PATH SE HORSHAM - TRISTAR U 1B&1C 1 MADDEN ST,HORSHAM VIC 3400,18/10/2022,17/10/2026
42,4683,DOREVITCH PATHOLOGY,PATH RM PROJECT HEALTH G/P 16 CHURCH ST,TRARALGON VIC 3844,03/11/2022,02/11/2026
42,4689,LAVERTY PATHOLOGY,RM 7 BELCONNEN MALL M/C SHOP 168 20 BENJAMIN WAY,BELCONNEN ACT 2617,17/10/2022,16/10/2026
42,4690,LAVERTY PATHOLOGY,PTH RM STRATHFIELD PRV HOSP SE 5 3 EVERTON RD,STRATHFIELD NSW 2135,17/10/2022,16/10/2026
42,4691,LAVERTY PATHOLOGY,298 WEST ST,UMINA BEACH NSW 2257,19/10/2022,18/10/2026
42,4693,LAVERTY PATHOLOGY,"PATH RM, BURDEKIN PARK M/C 146 GEORGE ST",SINGLETON NSW 2330,24/10/2022,23/10/2026
42,4694,DOREVITCH PATHOLOGY,"JKWC BUILDING, WESTERN HLTH 176-190 FURLONG RD",ST ALBANS VIC 3021,24/10/2022,23/10/2026
42,4699,TML PATHOLOGY,PATH RM 1 GHFP NURTURE 1 COMMERCE DR,HOWRAH TAS 7018,31/10/2022,30/10/2026
42,4700,QML PATHOLOGY,PATH RM 1 MUNDUBBERA M/C 96 LEICHHARDT ST,MUNDUBBERA QLD 4626,01/11/2022,31/10/2026
42,4701,QML PATHOLOGY,"PATH RM, PLATINUM MED CNTR 811 GYMPIE RD",CHERMSIDE QLD 4032,01/11/2022,31/10/2026
42,4702,WESTERN DIAGNOSTIC PATH,PATH RM HAMMOND PARK F/P 30 MARQUIS ST,HAMMOND PARK WA 6164,31/10/2022,30/10/2026
42,4703,QML PATHOLOGY,"SHOP 6,7A&B 40-44 BLACKWOOD ST",MITCHELTON QLD 4053,01/11/2022,31/10/2026
42,4704,DOREVITCH PATHOLOGY,PATH RM 1 M3 HLTH BAYSWATER SHOP 28 7-13 HIGH ST,BAYSWATER VIC 3153,08/11/2022,07/11/2026
42,4705,LAVERTY PATHOLOGY,PATH RM WYEE MEDICAL CNTR SHOP 2 131-135 WYEE RD,WYEE NSW 2259,07/11/2022,06/11/2026
42,4712,LAVERTY PATHOLOGY,"PATH RM, WISEMIND M/P SE 2 291-299 GUILDFORD RD",GUILDFORD NSW 2161,28/11/2022,27/11/2026
42,4713,QML PATHOLOGY,"PATH RM, HAVEN WOMEN'S U 1 318 OLSEN AVE",PARKWOOD QLD 4214,14/11/2022,13/11/2026
42,4714,QML PATHOLOGY,ASPLEY FIRSTCARE 7 DAY DOCS G 605 ROBINSON RD W,ASPLEY QLD 4034,16/11/2022,15/11/2026
42,4716,DOREVITCH PATHOLOGY,PATH RM ACCESS MED CNTR 1 REZES ST,WANTIRNA SOUTH VIC 3152,28/11/2022,27/11/2026
42,4718,DOREVITCH PATHOLOGY,PATH RM HLTHWISE ON BEDFORD 27 BEDFORD RD,RINGWOOD VIC 3134,01/12/2022,30/11/2026
42,4719,DOREVITCH PATHOLOGY,PATH RM BALLARAT WOMENS CLC 505 MAIR ST,BALLARAT VIC 3350,18/11/2022,17/11/2026
42,4720,LAVERTY PATHOLOGY,PATH RM CTR FOR GASTRO HLTH 45 BOWRAL ST,BOWRAL NSW 2576,25/11/2022,24/11/2026
42,4721,DOREVITCH PATHOLOGY,"P/RMS 1&2, GEELONG MALL M/C SHOP MM1 23 YARRA ST",GEELONG VIC 3220,03/04/2023,02/04/2027
42,4727,LAVERTY PATHOLOGY,THE CNTR FOR GASTRO HLTH SHOP 2B 31 LASSO RD,GREGORY HILLS NSW 2557,28/11/2022,27/11/2026
42,4728,LAVERTY PATHOLOGY,THE CNTR FOR GASTO HLTH 76 SHOWGROUND RD,CASTLE HILL NSW 2154,28/11/2022,27/11/2026
42,4729,LAVERTY PATHOLOGY,"SE5, LEICHHARDT MED&DEN CNT 30-38 SHORT ST",LEICHHARDT NSW 2040,28/11/2022,27/11/2026
42,4730,LAVERTY PATHOLOGY,PATH RM THE ENTRANCE M/C G 120 THE ENTRANCE RD,THE ENTRANCE NSW 2261,16/12/2022,15/12/2026
42,4732,QML PATHOLOGY,PATH RM BITS MEDICAL CENTRE 1 HAYES AVE,BOYNE ISLAND QLD 4680,02/12/2022,01/12/2026
42,4738,QML PATHOLOGY,TENANCY 2 U 3 93 CHAMBERS FLAT RD,MARSDEN QLD 4132,23/01/2023,22/01/2027
42,4739,DOREVITCH PATHOLOGY,PATH ROOM CREATE HEALTH 226 CLARENDON ST,EAST MELBOURNE VIC 3002,02/12/2022,01/12/2026
42,4740,DOREVITCH PATHOLOGY,HIGHETT MED & DENTAL CTR SE 5 1209 NEPEAN HWY,HIGHETT VIC 3190,09/12/2022,08/12/2026
42,4741,LAVERTY PATHOLOGY,SHOP 2 39 MORTS RD,MORTDALE NSW 2223,09/12/2022,08/12/2026
42,4742,LAVERTY PATHOLOGY,EASTPOINT FOOD FAIR SHOP 6 251 NEW SOUTH HEAD RD,EDGECLIFF NSW 2027,12/12/2022,11/12/2026
42,4743,LAVERTY PATHOLOGY,P/RMS 1&2 HEAL URGENT CARE 96 PARRY ST,NEWCASTLE WEST NSW 2302,01/02/2023,31/01/2027
42,4744,WESTERN DIAGNOSTIC PATH,PATH RM NORTHSIDE HEALTH NT 1 CARYOTA CT,COCONUT GROVE NT 810,12/12/2022,11/12/2026
42,4746,QML PATHOLOGY,QML PATHOLOGY SHOP 5 183 TUFNELL RD,BANYO QLD 4014,19/12/2022,18/12/2026
42,4747,DOREVITCH PATHOLOGY,"P/RM 1, WESTERN SPEC CNTR 131 MAIN RD W",ST ALBANS VIC 3021,16/01/2023,15/01/2027
42,4748,LAVERTY PATHOLOGY,PATH RM 1&2 HEALTHPAC M/C 7 HELP ST,CHATSWOOD NSW 2067,01/01/2023,31/12/2026
42,4749,LAVERTY PATHOLOGY,PATH RM COOTAMUNDRA FAM MED 148 PARKER ST,COOTAMUNDRA NSW 2590,01/02/2023,31/01/2027
42,4750,WESTERN DIAGNOSTIC PATH,PATH RM MENDS STREET F/P U 11 100 MILL POINT RD,SOUTH PERTH WA 6151,23/12/2022,22/12/2026
42,4752,DOREVITCH PATHOLOGY,P/RM SEAFORD BEACH FAM CLN 119 NEPEAN HWY,SEAFORD VIC 3198,23/12/2022,22/12/2026
42,4754,LAVERTY PATHOLOGY,PATH RM GLENMORE PARK DRS 46 THE LAKES DR,GLENMORE PARK NSW 2745,01/02/2023,31/01/2027
42,4756,LAVERTY PATHOLOGY,P/RM YASS MEDICAL PRACTICE 78-82 COMUR ST,YASS NSW 2582,01/02/2023,31/01/2027
42,4759,LAVERTY PATHOLOGY,PATH RM SOUTH KEMPSEY M/C SE 200 35 BELGRAVE ST,KEMPSEY NSW 2440,29/12/2022,28/12/2026
42,4760,LAVERTY PATHOLOGY,SHOP G01-07 G 28 BLUE GUM RD,JESMOND NSW 2299,29/12/2022,28/12/2026
42,4763,QML PATHOLOGY,LEASE C CONSULT RM 2 11 GILL ST,CHARTERS TOWERS QLD 4820,16/01/2023,15/01/2027
42,4765,WESTERN DIAGNOSTIC PATH,"PATH RM, ELLEN HEALTH SHOP 7 195 HAMPTON RD",SOUTH FREMANTLE WA 6162,16/01/2023,15/01/2027
42,4766,QML PATHOLOGY,TENANCY 3-6 CLAYFIELD F/C 139 JUNCTION RD,CLAYFIELD QLD 4011,16/01/2023,15/01/2027
42,4768,QML PATHOLOGY,PATH RM MYHEALTH WOODRIDGE SHOP 45 38-74 WEMBLEY RD,LOGAN CENTRAL QLD 4114,17/01/2023,16/01/2027
42,4770,DOREVITCH PATHOLOGY,"PATH RM, CROYDON MED CNTR 88-90 MAIN ST",CROYDON VIC 3136,02/03/2023,01/03/2027
42,4771,LAVERTY PATHOLOGY,PATHOLOGY SUITE COOLAH M/C 16 COLE ST,COOLAH NSW 2843,20/01/2023,19/01/2027
42,4772,LAVERTY PATHOLOGY,PATH RM KINGSWAY FAM PRCT 156 KINGSWAY,WOOLOOWARE NSW 2230,01/02/2023,31/01/2027
42,4774,LAVERTY PATHOLOGY,PATH RM CAMDEN CENTRAL F/P 70 JOHN ST,CAMDEN NSW 2570,01/02/2023,31/01/2027
42,4776,DOREVITCH PATHOLOGY,PATHOLOGY ROOM 17-18 DORSET RD,BORONIA VIC 3155,30/01/2023,29/01/2027
42,4778,LAVERTY PATHOLOGY,PATH RM GLORY MED CARE L 1 129 BANKSTOWN CITY PLZA,BANKSTOWN NSW 2200,06/02/2023,05/02/2027
42,4781,LAVERTY PATHOLOGY,PATH RM AVOCA MEDICAL CTR SHOP 1 8-10 SOMERSET AVE,NARELLAN NSW 2567,20/02/2023,19/02/2027
42,4785,QML PATHOLOGY,PATH RM TWEED MALL M/C SHOP 47 16-32 WHARF ST,TWEED HEADS NSW 2485,21/02/2023,20/02/2027
42,4786,WESTERN DIAGNOSTIC PATH,TOTAL HEALTH ELLENBROOK SHOP 2-3 42 MAIN ST,ELLENBROOK WA 6069,03/03/2023,02/03/2027
42,4787,DOREVITCH PATHOLOGY,PATH RM BEACHSIDE DOCTORS 191 POINT NEPEAN RD,DROMANA VIC 3936,02/03/2023,01/03/2027
42,4788,DOREVITCH PATHOLOGY,WARRANDYTE CONSULTING ROOMS 2 TREZISE ST,WARRANDYTE VIC 3113,24/02/2023,23/02/2027
42,4790,LAVERTY PATHOLOGY,SE 1 263 THE ENTRANCE RD,THE ENTRANCE NSW 2261,02/03/2023,01/03/2027
42,4791,QML PATHOLOGY,PTH RM MOFFAT BEACH FAM M/P 1 BUCCLEUGH ST,MOFFAT BEACH QLD 4551,02/03/2023,01/03/2027
42,4792,DOREVITCH PATHOLOGY,G 252 DORSET RD,BORONIA VIC 3155,02/03/2023,01/03/2027
42,4794,LAVERTY PATHOLOGY,MT DRUITT CENTRAL SHOP 36 10 ZOE PL,MOUNT DRUITT NSW 2770,01/04/2023,31/03/2027
42,4795,DOREVITCH PATHOLOGY,SOUTHERN PENINSULA FAM MED 926 POINT NEPEAN RD,ROSEBUD VIC 3939,07/03/2023,06/03/2027
42,4796,QML PATHOLOGY,QUEEN STREET VILLAGE SHOP T27A 129 QUEEN ST,SOUTHPORT QLD 4215,07/03/2023,06/03/2027
42,4797,LAVERTY PATHOLOGY,RMS 1&2 CBD SKIN CANCER CL L 6 92 PITT ST,SYDNEY NSW 2000,01/05/2023,30/04/2027
42,4798,QML PATHOLOGY,PATH RM RIVERLINK FAMLY PRC 279 BRISBANE ST,WEST IPSWICH QLD 4305,03/04/2023,02/04/2027
42,4799,WESTERN DIAGNOSTIC PATH,U 2 40 ST QUENTIN AVE,CLAREMONT WA 6010,21/03/2023,20/03/2027
42,4800,QML PATHOLOGY,ASHGROVE MARKETPLACE SHOP 5 16 ASHGROVE AVE,ASHGROVE QLD 4060,23/04/2023,22/04/2027
42,4801,DOREVITCH PATHOLOGY,281 CHARMAN RD,CHELTENHAM VIC 3192,30/03/2023,29/03/2027
42,4802,DOREVITCH PATHOLOGY,VICTORIAN GERIATRIC & MEDIC 108 MT DANDENONG RD,RINGWOOD EAST VIC 3135,23/03/2023,22/03/2027
42,4803,LAVERTY PATHOLOGY,COAST TO COAST MEDICAL CENT SHOP 8 36 ALISON RD,WYONG NSW 2259,23/03/2023,22/03/2027
42,4804,DOREVITCH PATHOLOGY,297 HIGH ST,ASHBURTON VIC 3147,24/03/2023,23/03/2027
42,4805,LAVERTY PATHOLOGY,BELMONT HEALTH CENTRE 527 PACIFIC HWY,BELMONT NSW 2280,01/04/2023,31/03/2027
42,4806,LAVERTY PATHOLOGY,HILL STREET MEDICAL CENTRE RM 1 56 HILL ST,PORT MACQUARIE NSW 2444,27/03/2023,26/03/2027
42,4807,LAVERTY PATHOLOGY,BRINDABELLA MEDICAL CENTRE RM 1 & 2 80 MORISSET ST,QUEANBEYAN NSW 2620,01/04/2023,31/03/2027
42,4808,DOREVITCH PATHOLOGY,SHOP 1 87 MOUNT ELIZA WAY,MOUNT ELIZA VIC 3930,06/04/2023,05/04/2027
42,4809,WESTERN DIAGNOSTIC PATHOLOG,HAMILTON HILL MEDICAL CENTR SHOP 13 1 SIMMS RD,HAMILTON HILL WA 6163,27/03/2023,26/03/2027
42,4811,QML PATHOLOGY,TWEED CITY SHOPPING CENTRE SHOP 309 54 MINJUNGBAL DR,TWEED HEADS SOUT NSW 2486,29/03/2023,28/03/2027
42,4812,DOREVITCH PATHOLOGY,PATH RM 1 TEMPLE HILLS M/C 2 DEVLAW DR,DONCASTER EAST VIC 3109,03/07/2023,02/07/2027
42,4815,QML PATHOLOGY,PTH RM MYHEALTH TREETOPS GP SHOP 2 7 CLASSIC WAY,BURLEIGH WATERS QLD 4220,12/04/2023,11/04/2027
42,4816,LAVERTY PATHOLOGY,PATH RM CORE RHEUMATOLOGY 13 CANBERRA ST,CHARLESTOWN NSW 2290,13/04/2023,12/04/2027
42,4818,QML PATHOLOGY,SLADE POINT MEDICAL CENTRE SHOP 11 1 FINCH ST,SLADE POINT QLD 4740,17/04/2023,16/04/2027
42,4820,QML PATHOLOGY,COLES KARALEE SHOPPING VLGE SHOP T02 39-51 JUNCTION RD,CHUWAR QLD 4306,01/05/2023,30/04/2027
42,4821,WESTERN DIAGNOSTIC PATHOLOG,SHENTON PARK GENERAL PRACT 217 NICHOLSON RD,SHENTON PARK WA 6008,24/04/2023,23/04/2027
42,4823,WESTERN DIAGNOSTIC PATHOLOG,PATHOLOGY ROOM SHOP 16 153 TRAPPERS DR,WOODVALE WA 6026,24/04/2023,23/04/2027
42,4824,LAVERTY PATHOLOGY,SHOP 2 6-8 PACIFIC HWY,ST LEONARDS NSW 2065,01/05/2023,30/04/2027
42,4825,DOREVITCH PATHOLOGY,U 1 269-275 HIGH ST,GOLDEN SQUARE VIC 3555,01/05/2023,30/04/2027
42,4826,DOREVITCH PATHOLOGY,PATHOLOGY SUITE SHOP 4 137 HIGH ST,WODONGA VIC 3690,01/05/2023,30/04/2027
42,4827,DOREVITCH PATHOLOGY,PATH RM INNER NORTH M/C 260-274 LYGON ST,BRUNSWICK EAST VIC 3057,01/05/2023,30/04/2027
42,4828,LAVERTY PATHOLOGY,PATH SE GWYDIR MEDICAL 147 BALO ST,MOREE NSW 2400,01/05/2023,30/04/2027
42,4829,QML PATHOLOGY,THE OASIS S/C SHOP 1.12 FL 1 75 SURF PDE,BROADBEACH QLD 4218,02/05/2023,01/05/2027
42,4831,LAVERTY PATHOLOGY,"DR ROOM 7, MYHEALTH MIRANDA SE 2B 86 KIORA RD",MIRANDA NSW 2228,12/05/2023,11/05/2027
42,4832,LAVERTY PATHOLOGY,CORRIMAL HLTHCARE CTR SH 3 203-215 PRINCES HWY,CORRIMAL NSW 2518,12/05/2023,11/05/2027
42,4834,LAVERTY PATHOLOGY,SE 8 41 RAWSON ST,EPPING NSW 2121,09/05/2023,08/05/2027
42,4835,QML PATHOLOGY,SUNNYBANK PLAZA FAMILY CLIN SHOP 29B 358 MAINS RD,SUNNYBANK QLD 4109,12/05/2023,11/05/2027
42,4836,DOREVITCH PATHOLOGY,SHOP 1 730 BURKE RD,CAMBERWELL VIC 3124,15/05/2023,14/05/2027
42,4837,DOREVITCH PATHOLOGY,"PATHOLOGY ROOM, ICO HEALTH 411 WHITEHORSE RD",BALWYN VIC 3103,08/05/2023,07/05/2027
42,4839,DOREVITCH PATHOLOGY,SE 2 G 329 MITCHAM RD,MITCHAM VIC 3132,15/05/2023,14/05/2027
42,4841,DOREVITCH PATHOLOGY,EAGLEHAWK UFS CHEMIST 89 VICTORIA ST,EAGLEHAWK VIC 3556,16/05/2023,15/05/2027
42,4843,LAVERTY PATHOLOGY,U 1 73 KENDALL ST,WEST PYMBLE NSW 2073,19/05/2023,18/05/2027
42,4844,LAVERTY PATHOLOGY,PATH RMS1&2 MEDOWIE FAM CLC SHOP 13 37C FERODALE RD,MEDOWIE NSW 2318,19/05/2023,18/05/2027
42,4846,LAVERTY PATHOLOGY,PACIFIC PALMS MEDICAL CTR 208 BOOMERANG DR,BLUEYS BEACH NSW 2428,19/05/2023,18/05/2027
42,4848,LAVERTY PATHOLOGY,PEPPERTREE GP MEDICAL CENTR SHOP 7 12 PEPPERTREE RD,MEDOWIE NSW 2318,01/06/2023,31/05/2027
42,4849,LAVERTY PATHOLOGY,PTH RM 1 NAMOI MEDICAL SVCS SE 4B 159 MAITLAND RD,NARRABRI NSW 2390,01/06/2023,31/05/2027
42,4851,QML PATHOLOGY,CHERMSIDE MARKETS FAMILY MC 725 WEBSTER RD,CHERMSIDE QLD 4032,29/05/2023,28/05/2027
42,4853,DOREVITCH PATHOLOGY,MELTON SPECIALIST CLINIC 190 STATION RD,MELTON VIC 3337,19/05/2023,18/05/2027
42,4855,LAVERTY PATHOLOGY,PATHOLOGY SUITE 84 GEORGETOWN RD,GEORGETOWN NSW 2298,01/06/2023,31/05/2027
42,4857,LAVERTY PATHOLOGY,INGLEBURN MEDICAL CENTRE SE 5 2 NARDOO ST,INGLEBURN NSW 2565,26/05/2023,25/05/2027
42,4859,QML PATHOLOGY,WINSTON GLADES SHOPPING CEN SHOP 16 259 ASH ST,FLINDERS VIEW QLD 4305,30/05/2023,29/05/2027
42,4862,LAVERTY PATHOLOGY,SHOP 6 & 7 90 WALDRON RD,CHESTER HILL NSW 2162,01/07/2023,30/06/2027
42,4864,LAVERTY PATHOLOGY,ENGADINE MEDICAL CENTRE G 1107 OLD PRINCES HWY,ENGADINE NSW 2233,09/06/2023,08/06/2027
42,4866,QML PATHOLOGY,PATH RM 1 FERNY GROVE F/P 51 MCGINN RD,FERNY GROVE QLD 4055,12/06/2023,11/06/2027
42,4867,DOREVITCH PATHOLOGY,PATH RM ARTHRITIS CENTRE SHOP 30D 101 MANNINGHAM RD,BULLEEN VIC 3105,22/06/2023,21/06/2027
42,4868,DOREVITCH PATHOLOGY,SPRING GULLY MEDICAL CENTRE 126 SPRING GLY,SPRING GULLY VIC 3550,16/06/2023,15/06/2027
42,4869,DOREVITCH PATHOLOGY,FLORA HILL MEDICAL CENTRE 153 NEALE ST,FLORA HILL VIC 3550,19/06/2023,18/06/2027
42,4870,LAVERTY PATHOLOGY,SHOP R7 4 HYDE PDE,CAMPBELLTOWN NSW 2560,16/06/2023,15/06/2027
42,4872,LAVERTY PATHOLOGY,ELERMORE VALE MEDICAL CTR SHOP 10-13 137 CROUDACE RD,ELERMORE VALE NSW 2287,23/06/2023,22/06/2027
42,4873,LAVERTY PATHOLOGY,STROUD MEDICAL CENTRE 64 COWPER ST,STROUD NSW 2425,23/06/2023,22/06/2027
42,4874,DOREVITCH PATHOLOGY,PAKENHAM FAMILY HEALTH 80 JOHN ST,PAKENHAM VIC 3810,26/06/2023,25/06/2027
42,4878,DOREVITCH PATHOLOGY,NOBLE PARK MEDICAL CENTRE 1098 HEATHERTON RD,NOBLE PARK VIC 3174,26/06/2023,25/06/2027
42,4879,WESTERN DIAGNOSTIC PATHOLOG,DARWIN DERMATOLOGY U 6 5 TIWI GDNS,TIWI NT 810,30/06/2023,29/06/2027
42,4880,DOREVITCH PATHOLOGY,1100 PASCOE VALE RD,BROADMEADOWS VIC 3047,30/06/2023,29/06/2027
42,4883,QML PATHOLOGY,FOREST LAKE DOCTORS SHOP R8 235 FOREST LAKE BVD,FOREST LAKE QLD 4078,10/07/2023,09/07/2027
42,4884,WESTERN DIAGNOSTIC PATHOLOG,OCEAN KEYS FAMILY PRACTICE SHOP 4 5 EBB WAY,CLARKSON WA 6030,01/08/2023,31/07/2027
42,4885,WESTERN DIAGNOSTIC PATHOLOG,PATH RM NOLLAMARA M/C 82 HILLSBOROUGH DR,NOLLAMARA WA 6061,02/08/2023,01/08/2027
42,4886,LAVERTY PATHOLOGY,PATH RM RAY RICKARD MED CTR 6 STATION ST,FAIRFIELD NSW 2165,24/07/2023,23/07/2027
42,4888,DOREVITCH PATHOLOGY,CENTRAL MEDICAL GROUP 222 BEECHWORTH RD,WODONGA VIC 3690,21/07/2023,20/07/2027
42,4889,LAVERTY PATHOLOGY,GYMEA BAY ROAD FAMILY PRACT 92-94 GYMEA BAY RD,GYMEA NSW 2227,21/07/2023,20/07/2027
42,4896,LAVERTY PATHOLOGY,PATH ROOM WHITEBRIDGE M/C 141 DUDLEY RD,WHITEBRIDGE NSW 2290,31/07/2023,30/07/2027
42,4898,DOREVITCH PATHOLOGY,PTH SE 1 NEWHAVEN MC SH 5-6 8-10 FORREST AVE,NEWHAVEN VIC 3925,28/07/2023,27/07/2027
42,4899,LAVERTY PATHOLOGY,PACIFIC FAMILY MEDICAL CENT 23 WATT ST,GOSFORD NSW 2250,07/08/2023,06/08/2027
42,4900,WESTERN DIAGNOSTIC PATHOLOG,BELRIDGE SHOPPING CENTRE SHOP 3 36 GWENDOLINE DR,BELDON WA 6027,01/08/2023,31/07/2027
42,4902,QML PATHOLOGY,KEPERRA FAMILY DOCTORS AND SHOP 1B 577 SETTLEMENT RD,KEPERRA QLD 4054,09/08/2023,08/08/2027
42,4904,WESTERN DIAGNOSTIC PATHOLOG,U 1 2 BRUSHFOOT BVD,SUCCESS WA 6164,04/08/2023,03/08/2027
42,4906,DOREVITCH PATHOLOGY,ECHUCA MOAMA FAMILY M/PRAC 179-183 ANNESLEY ST,ECHUCA VIC 3564,16/08/2023,15/08/2027
42,4907,LAVERTY PATHOLOGY,BARGO SURGERY 74 RAILWAY AVE,BARGO NSW 2574,17/08/2023,16/08/2027
42,4908,DOREVITCH PATHOLOGY,"PATH ROOM, ELEANOR CLINIC 20 ELEANOR ST",FOOTSCRAY VIC 3011,14/08/2023,13/08/2027
42,4910,WESTERN DIAGNOSTIC PATHOLOG,GROVE MEDICAL 1009 ALBANY HIGHWAY,ST JAMES WA 6102,14/08/2023,13/08/2027
42,4911,DOREVITCH PATHOLOGY,MELTON MEDICAL & DENTAL CEN SE 5 247-251 STATION RD,MELTON VIC 3337,15/08/2023,14/08/2027
42,4915,DOREVITCH PATHOLOGY,PHILLIPSON STREET CLINIC 63 PHILLIPSON ST,WANGARATTA VIC 3677,14/08/2023,13/08/2027
42,4916,QML PATHOLOGY,BIGGERA WATERS FAMILY PRACT 40 HOLLYWELL RD,BIGGERA WATERS QLD 4216,14/08/2023,13/08/2027
42,4917,WESTERN DIAGNOSTIC PATHOLOG,PTH RM BALCATTA MEDICAL GRP U 1A 279 WANNEROO RD,BALCATTA WA 6021,30/10/2023,29/10/2027
42,4918,DOREVITCH PATHOLOGY,WESTFIELD GEELONG SHOP MM1A 95-97 MALOP ST,GEELONG VIC 3220,24/08/2023,23/08/2027
42,4919,LAVERTY PATHOLOGY,PATH RM TUMBARUMBA MED PRAC 69 MURRAY ST,TUMBARUMBA NSW 2653,02/10/2023,01/10/2027
42,4920,QML PATHOLOGY,PATH RM BORONIA PARK M/C G SHOP 6 111-113 SHORT ST,BORONIA HEIGHTS QLD 4124,21/08/2023,20/08/2027
42,4921,LAVERTY PATHOLOGY,PATH RMS CR9 & CR10 T11 61 COOYONG ST,BRADDON ACT 2612,29/08/2023,28/08/2027
42,4924,DOREVITCH PATHOLOGY,SHOP L04 120-200 ROSAMOND RD,MARIBYRNONG VIC 3032,22/08/2023,21/08/2027
42,4926,DOREVITCH PATHOLOGY,119 PLENTY RD,BUNDOORA VIC 3083,29/08/2023,28/08/2027
42,4927,QML PATHOLOGY,SE 3 698 ALBANY CREEK RD,ALBANY CREEK QLD 4035,29/08/2023,28/08/2027
42,4928,LAVERTY PATHOLOGY,G 60-64 BAY ST,ULTIMO NSW 2007,29/08/2023,28/08/2027
42,4929,LAVERTY PATHOLOGY,PATH RM 1 O PLUS HEALTH SHOP 66 52-74 FITZROY ST,GRAFTON NSW 2460,01/09/2023,31/08/2027
42,4930,LAVERTY PATHOLOGY,PATH RM PICTON FAMILY M/C SHOP T28 9 MARGARET ST,PICTON NSW 2571,03/09/2023,02/09/2027
42,4932,QML PATHOLOGY,PTH RM PINDARA PRIV HOSP L 2 39 ALLCHURCH AVE,BENOWA QLD 4217,08/09/2023,07/09/2027
42,4934,LAVERTY PATHOLOGY,SE 6 2-10 DOCKER ST,WAGGA WAGGA NSW 2650,22/09/2023,21/09/2027
42,4937,DOREVITCH PATHOLOGY,11 STATION ST,OAKLEIGH VIC 3166,06/10/2023,05/10/2027
42,4938,QML PATHOLOGY,PATH RM THE MELANOMA CENTRE U 13 275 GREY ST,SOUTH BRISBANE QLD 4101,16/10/2023,15/10/2027
42,4939,QML PATHOLOGY,STH CITY DRS SH G4.06-4.08 148 LOGAN RD,WOOLLOONGABBA QLD 4102,16/10/2023,15/10/2027
42,4942,DOREVITCH PATHOLOGY,ELSTERNWICK MEDICAL CENTRE SE 5 604-610 GLEN HUNTLY RD,ELSTERNWICK VIC 3185,13/10/2023,12/10/2027
42,4944,LAVERTY PATHOLOGY,261 BEAMISH ST,CAMPSIE NSW 2194,20/10/2023,19/10/2027
42,4945,LAVERTY PATHOLOGY,PATH RM LANDMARK MED&DENTAL SHOP C5B 2 HECTOR CT,KELLYVILLE NSW 2155,01/12/2023,30/11/2027
42,4946,WESTERN DIAGNOSTIC PATH,CANNINGTON MC SHOP 1 SE 5 8-10 HAMILTON ST,CANNINGTON WA 6107,26/10/2023,25/10/2027
42,4947,QML PATHOLOGY,PATH RM CABARITA BEACH MED G 22 TWEED COAST RD,CABARITA BEACH NSW 2488,23/10/2023,22/10/2027
42,4948,DOREVITCH PATHOLOGY,ADVANTAGE HEALTH POINT M/C 27 RIVERINE ST,BAIRNSDALE VIC 3875,02/11/2023,01/11/2027
42,4949,LAVERTY PATHOLOGY,PATH RM ALMEDA MEDICAL CTR 68 ALBANY ST,COFFS HARBOUR NSW 2450,26/10/2023,25/10/2027
